,Date,Province_State,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
427,2020-12-22,Missouri,17707,0,0,0
428,2020-12-22,Montana,5866,0,0,0
429,2020-12-22,Nebraska,8375,0,0,0
430,2020-12-22,Nevada,8708,0,0,0
431,2020-12-22,New Hampshire,3860,0,0,0
432,2020-12-22,New Jersey,9173,0,0,0
433,2020-12-22,New Mexico,9294,0,0,0
434,2020-12-22,New York,37617,0,0,0
435,2020-12-22,North Carolina,13646,0,0,0
436,2020-12-22,North Dakota,5664,0,0,0
437,2020-12-22,Northern Mariana Islands,186,0,0,0
438,2020-12-22,Ohio,5930,0,0,0
439,2020-12-22,Oklahoma,16188,0,0,0
440,2020-12-22,Oregon,3042,0,0,0
441,2020-12-22,Pennsylvania,24855,0,0,0
442,2020-12-22,Puerto Rico,11247,0,0,0
443,2020-12-22,Rhode Island,3260,0,0,0
444,2020-12-22,South Carolina,20614,0,0,0
445,2020-12-22,South Dakota,7465,0,0,0
446,2020-12-22,Tennessee,9924,0,0,0
447,2020-12-22,Texas,161062,0,0,0
448,2020-12-22,Utah,5829,0,0,0
449,2020-12-22,Vermont,2156,0,0,0
450,2020-12-22,Virgin Islands,153,0,0,0
451,2020-12-22,Virginia,271,0,0,0
452,2020-12-22,Washington,12751,0,0,0
453,2020-12-22,West Virginia,16271,0,0,0
454,2020-12-22,Wisconsin,9759,0,0,0
455,2020-12-22,Wyoming,1555,0,0,0
457,2020-12-23,Alabama,7383,0,0,0
458,2020-12-23,Alaska,5615,0,0,0
459,2020-12-23,American Samoa,139,0,0,0
460,2020-12-23,Arizona,7865,0,0,0
461,2020-12-23,Arkansas,9947,0,0,0
462,2020-12-23,California,92703,0,0,0
463,2020-12-23,Colorado,33946,0,0,0
464,2020-12-23,Connecticut,13037,0,0,0
465,2020-12-23,Delaware,2649,0,0,0
466,2020-12-23,District of Columbia,3132,0,0,0
467,2020-12-23,Florida,43820,0,0,0
468,2020-12-23,Georgia,11823,0,0,0
469,2020-12-23,Guam,0,0,0,0
470,2020-12-23,Hawaii,6711,0,0,0
471,2020-12-23,Idaho,0,0,0,0
472,2020-12-23,Illinois,70193,0,0,0
473,2020-12-23,Indiana,15250,0,0,0
474,2020-12-23,Iowa,8726,0,0,0
475,2020-12-23,Kansas,4769,0,0,0
476,2020-12-23,Kentucky,7329,0,0,0
477,2020-12-23,Louisiana,17878,0,0,0
478,2020-12-23,Maine,4489,0,0,0
479,2020-12-23,Maryland,4928,0,0,0
480,2020-12-23,Massachusetts,20872,0,0,0
481,2020-12-23,Michigan,6600,0,0,0
482,2020-12-23,Minnesota,3918,0,0,0
483,2020-12-23,Mississippi,3094,0,0,0
484,2020-12-23,Missouri,23055,0,0,0
485,2020-12-23,Montana,5866,0,0,0
486,2020-12-23,Nebraska,9094,0,0,0
487,2020-12-23,Nevada,9690,0,0,0
488,2020-12-23,New Hampshire,4362,0,0,0
489,2020-12-23,New Jersey,9173,0,0,0
490,2020-12-23,New Mexico,9673,0,0,0
491,2020-12-23,New York,37617,0,0,0
492,2020-12-23,North Carolina,24438,0,0,0
493,2020-12-23,North Dakota,6204,0,0,0
494,2020-12-23,Northern Mariana Islands,332,0,0,0
495,2020-12-23,Ohio,5930,0,0,0
496,2020-12-23,Oklahoma,20759,0,0,0
497,2020-12-23,Oregon,4477,0,0,0
498,2020-12-23,Pennsylvania,39359,0,0,0
499,2020-12-23,Puerto Rico,11249,0,0,0
500,2020-12-23,Rhode Island,4345,0,0,0
501,2020-12-23,South Carolina,26277,0,0,0
502,2020-12-23,South Dakota,7751,0,0,0
503,2020-12-23,Tennessee,21451,0,0,0
504,2020-12-23,Texas,191715,0,0,0
505,2020-12-23,Utah,6449,0,0,0
506,2020-12-23,Vermont,2340,0,0,0
507,2020-12-23,Virgin Islands,237,0,0,0
508,2020-12-23,Virginia,2719,0,0,0
509,2020-12-23,Washington,16275,0,0,0
510,2020-12-23,West Virginia,19000,0,0,0
511,2020-12-23,Wisconsin,9759,0,0,0
512,2020-12-23,Wyoming,1555,0,0,0
514,2020-12-24,Alabama,9473,0,0,0
515,2020-12-24,Alaska,6822,0,0,0
516,2020-12-24,American Samoa,347,0,0,0
517,2020-12-24,Arizona,11633,0,0,0
518,2020-12-24,Arkansas,19773,0,0,0
519,2020-12-24,California,125597,0,0,0
520,2020-12-24,Colorado,38678,0,0,0
521,2020-12-24,Connecticut,19154,0,0,0
522,2020-12-24,Delaware,3884,0,0,0
523,2020-12-24,District of Columbia,5567,0,0,0
524,2020-12-24,Florida,50038,0,0,0
525,2020-12-24,Georgia,16533,0,0,0
526,2020-12-24,Guam,1907,0,0,0
527,2020-12-24,Hawaii,10609,0,0,0
528,2020-12-24,Idaho,0,0,0,0
529,2020-12-24,Illinois,80089,0,0,0
530,2020-12-24,Indiana,33635,0,0,0
531,2020-12-24,Iowa,13229,0,0,0
532,2020-12-24,Kansas,5120,0,0,0
533,2020-12-24,Kentucky,8908,0,0,0
534,2020-12-24,Louisiana,21433,0,0,0
535,2020-12-24,Maine,7551,0,0,0
536,2020-12-24,Maryland,8284,0,0,0
537,2020-12-24,Massachusetts,26892,0,0,0
538,2020-12-24,Michigan,16037,0,0,0
539,2020-12-24,Minnesota,13207,0,0,0
540,2020-12-24,Mississippi,4670,0,0,0
541,2020-12-24,Missouri,23055,0,0,0
542,2020-12-24,Montana,7604,0,0,0
543,2020-12-24,Nebraska,9094,0,0,0
544,2020-12-24,Nevada,12847,0,0,0
545,2020-12-24,New Hampshire,7260,0,0,0
546,2020-12-24,New Jersey,25108,0,0,0
547,2020-12-24,New Mexico,12462,0,0,0
548,2020-12-24,New York,62451,0,0,0
549,2020-12-24,North Carolina,33814,0,0,0
550,2020-12-24,North Dakota,6891,0,0,0
551,2020-12-24,Northern Mariana Islands,691,0,0,0
552,2020-12-24,Ohio,8459,0,0,0
553,2020-12-24,Oklahoma,26320,0,0,0
554,2020-12-24,Oregon,7205,0,0,0
555,2020-12-24,Pennsylvania,54732,0,0,0
556,2020-12-24,Puerto Rico,14312,0,0,0
557,2020-12-24,Rhode Island,5816,0,0,0
558,2020-12-24,South Carolina,31796,0,0,0
559,2020-12-24,South Dakota,8188,0,0,0
560,2020-12-24,Tennessee,29426,0,0,0
561,2020-12-24,Texas,232321,0,0,0
562,2020-12-24,Utah,8525,0,0,0
563,2020-12-24,Vermont,3686,0,0,0
564,2020-12-24,Virgin Islands,298,0,0,0
565,2020-12-24,Virginia,20946,0,0,0
566,2020-12-24,Washington,22213,0,0,0
567,2020-12-24,West Virginia,27746,0,0,0
568,2020-12-24,Wisconsin,14264,0,0,0
569,2020-12-24,Wyoming,1555,0,0,0
571,2020-12-25,Alabama,15857,0,0,0
572,2020-12-25,Alaska,8578,0,0,0
573,2020-12-25,American Samoa,570,0,0,0
574,2020-12-25,Arizona,16701,0,0,0
575,2020-12-25,Arkansas,19773,0,0,0
576,2020-12-25,California,174110,0,0,0
577,2020-12-25,Colorado,43762,0,0,0
578,2020-12-25,Connecticut,20679,0,0,0
579,2020-12-25,Delaware,4959,0,0,0
580,2020-12-25,District of Columbia,5567,0,0,0
581,2020-12-25,Florida,68273,0,0,0
582,2020-12-25,Georgia,24173,0,0,0
583,2020-12-25,Guam,1907,0,0,0
584,2020-12-25,Hawaii,12826,0,0,0
585,2020-12-25,Idaho,0,0,0,0
586,2020-12-25,Illinois,80089,0,0,0
587,2020-12-25,Indiana,33635,0,0,0
588,2020-12-25,Iowa,21341,0,0,0
589,2020-12-25,Kansas,8822,0,0,0
590,2020-12-25,Kentucky,19976,0,0,0
591,2020-12-25,Louisiana,26971,0,0,0
592,2020-12-25,Maine,11958,0,0,0
593,2020-12-25,Maryland,11800,0,0,0
594,2020-12-25,Massachusetts,35844,0,0,0
595,2020-12-25,Michigan,16504,0,0,0
596,2020-12-25,Minnesota,25795,0,0,0
597,2020-12-25,Mississippi,7167,0,0,0
598,2020-12-25,Missouri,33368,0,0,0
599,2020-12-25,Montana,8885,0,0,0
600,2020-12-25,Nebraska,15518,0,0,0
601,2020-12-25,Nevada,16149,0,0,0
602,2020-12-25,New Hampshire,9003,0,0,0
603,2020-12-25,New Jersey,35473,0,0,0
604,2020-12-25,New Mexico,16012,0,0,0
605,2020-12-25,New York,83557,0,0,0
